Season,Team,Player,Age,Position,Games,Games_Started,Minutes_Played,Field_Goal_Percentage,FG_percentage_on_FGAs_that_are_0_to_3_feet_from_the_basket,FG_percentage_on_FGAs_that_are_3_to_10_feet_from_the_basket,FG_percentage_on_FGAs_that_are_10_to_16_feet_from_the_basket,FG_percentage_on_FGAs_that_are_more_than_16_feet_from_the_basket,FG_percentage_on_FGAs_that_are_3_Pt_FGAs
2014-15,Atlanta Hawks,Kyle Korver,33,SG,75,75,2418,.487,.679,.231,.429,.449,.492
2014-15,Atlanta Hawks,Paul Millsap,29,PF,73,73,2390,.476,.638,.427,.275,.417,.356
2014-15,Atlanta Hawks,Al Horford,28,C,76,76,2318,.538,.748,.407,.458,.494,.306
2014-15,Atlanta Hawks,Jeff Teague,26,PG,73,72,2228,.460,.619,.365,.413,.405,.343
2014-15,Atlanta Hawks,DeMarre Carroll,28,SF,70,69,2189,.487,.657,.468,.357,.463,.395
2014-15,Atlanta Hawks,Dennis Schröder,21,PG,77,10,1516,.427,.544,.340,.341,.381,.351
2014-15,Atlanta Hawks,Kent Bazemore,25,SG,75,10,1324,.426,.606,.320,.158,.381,.364
2014-15,Atlanta Hawks,Mike Scott,26,PF,68,0,1123,.444,.699,.427,.415,.460,.344
2014-15,Atlanta Hawks,Pero Antić,32,C,63,3,1037,.365,.549,.400,.273,.323,.301
2014-15,Atlanta Hawks,Thabo Sefolosha,30,SF,52,7,976,.418,.567,.419,.300,.160,.321
2014-15,Atlanta Hawks,Shelvin Mack,24,PG,55,0,833,.401,.569,.375,.444,.425,.315
2014-15,Atlanta Hawks,Mike Muscala,23,PF,40,8,502,.550,.673,.429,.632,.471,.409
2014-15,Atlanta Hawks,Elton Brand,35,C,36,4,486,.442,.688,.357,.406,.406,.000
2014-15,Atlanta Hawks,John Jenkins,23,SG,24,3,297,.495,.917,.000,.250,.552,.404
2014-15,Atlanta Hawks,Austin Daye,26,SF,8,0,76,.385,.600,.000,.333,.333,.357
2014-15,Atlanta Hawks,Adreian Payne,23,PF,3,0,19,.286,.333,.000,0,1.000,.000
2014-15,Boston Celtics,Avery Bradley,24,SG,77,77,2428,.429,.612,.392,.356,.431,.352
2014-15,Boston Celtics,Evan Turner,26,SG,82,57,2260,.429,.584,.309,.449,.408,.277
2014-15,Boston Celtics,Brandon Bass,29,PF,82,43,1929,.504,.679,.330,.400,.457,.281
2014-15,Boston Celtics,Marcus Smart,20,PG,67,38,1808,.367,.560,.256,.382,.295,.335
2014-15,Boston Celtics,Tyler Zeller,25,C,82,59,1731,.549,.632,.463,.600,.482,0
2014-15,Boston Celtics,Jared Sullinger,22,PF,58,49,1566,.439,.623,.420,.351,.475,.283
2014-15,Boston Celtics,Kelly Olynyk,23,C,64,13,1423,.475,.681,.348,.475,.339,.349
2014-15,Boston Celtics,Jae Crowder,24,SF,57,17,1382,.418,.613,.371,.468,.358,.282
2014-15,Boston Celtics,Jeff Green,28,SF,33,33,1093,.434,.643,.484,.364,.361,.305
2014-15,Boston Celtics,Rajon Rondo,28,PG,22,22,699,.405,.571,.324,.429,.352,.250
2014-15,Boston Celtics,Marcus Thornton,27,SG,39,0,640,.416,.500,.450,.071,.368,.419
2014-15,Boston Celtics,Phil Pressey,23,PG,50,0,600,.368,.491,.381,.300,.429,.246
2014-15,Boston Celtics,Isaiah Thomas,25,PG,21,0,545,.411,.563,.190,.364,.444,.345
2014-15,Boston Celtics,Jonas Jerebko,27,PF,29,0,527,.431,.707,.097,.125,.350,.406
2014-15,Boston Celtics,James Young,19,SG,31,0,332,.353,.800,.400,.500,.421,.258
2014-15,Boston Celtics,Gerald Wallace,32,SF,32,0,286,.412,.458,.400,0,.000,.333
2014-15,Boston Celtics,Tayshaun Prince,34,SF,9,0,198,.559,.900,.444,.357,.556,.625
2014-15,Boston Celtics,Gigi Datome,27,SF,18,1,192,.494,.750,.667,.385,.429,.472
2014-15,Boston Celtics,Jameer Nelson,32,PG,6,1,121,.220,.333,.333,.000,.200,.200
2014-15,Boston Celtics,Brandan Wright,27,PF,8,0,86,.571,.750,.333,0,0,0
2014-15,Boston Celtics,Shavlik Randolph,31,PF,5,0,25,.300,.667,.167,0,0,.000
2014-15,Boston Celtics,Dwight Powell,23,PF,5,0,9,.800,.800,0,0,0,0
2014-15,Brooklyn Nets,Joe Johnson,33,SG,80,80,2791,.435,.570,.524,.410,.374,.359
2014-15,Brooklyn Nets,Jarrett Jack,31,PG,80,27,2241,.439,.607,.503,.395,.455,.267
2014-15,Brooklyn Nets,Deron Williams,30,PG,68,55,2114,.387,.457,.377,.390,.351,.367
2014-15,Brooklyn Nets,Brook Lopez,26,C,72,44,2100,.513,.658,.459,.470,.422,.100
2014-15,Brooklyn Nets,Bojan Bogdanović,25,SF,78,28,1854,.453,.710,.387,.362,.326,.355
2014-15,Brooklyn Nets,Alan Anderson,32,SG,74,19,1744,.443,.683,.449,.452,.297,.348
2014-15,Brooklyn Nets,Mason Plumlee,24,C,82,45,1743,.573,.646,.377,.167,.500,.000
2014-15,Brooklyn Nets,Mirza Teletović,29,PF,40,4,892,.382,.531,.424,.286,.455,.321
2014-15,Brooklyn Nets,Kevin Garnett,38,PF,42,42,854,.455,.500,.400,.429,.478,.167
2014-15,Brooklyn Nets,Thaddeus Young,26,PF,28,20,829,.495,.676,.361,.286,.286,.380
2014-15,Brooklyn Nets,Markel Brown,23,SG,47,29,781,.362,.541,.348,.316,.279,.266
2014-15,Brooklyn Nets,Sergey Karasev,21,SG,33,16,555,.403,.553,.450,.375,.357,.296
2014-15,Brooklyn Nets,Cory Jefferson,24,PF,50,1,531,.449,.586,.389,.519,.355,.133
2014-15,Brooklyn Nets,Jerome Jordan,28,C,44,0,383,.532,.587,.286,.400,.286,0
2014-15,Brooklyn Nets,Darius Morris,24,PG,38,0,299,.340,.545,.385,.214,.231,.212
2014-15,Brooklyn Nets,Earl Clark,27,PF,10,0,93,.367,.750,0,.000,.364,.286
2014-15,Brooklyn Nets,Jorge Gutiérrez,26,PG,10,0,44,.500,1.000,.333,.000,.400,.000
2014-15,Brooklyn Nets,Brandon Davies,23,PF,7,0,44,.333,.400,.333,.333,.333,.250
2014-15,Brooklyn Nets,Andrei Kirilenko,33,SF,7,0,36,.000,.000,.000,0,0,0
2014-15,Charlotte Hornets,Gerald Henderson,27,SG,80,72,2315,.437,.636,.356,.406,.407,.331
2014-15,Charlotte Hornets,Kemba Walker,24,PG,62,58,2119,.385,.494,.381,.297,.420,.304
2014-15,Charlotte Hornets,Marvin Williams,28,PF,78,37,2035,.424,.684,.349,.333,.452,.358
2014-15,Charlotte Hornets,Al Jefferson,30,C,65,61,1992,.481,.639,.447,.391,.391,.400
2014-15,Charlotte Hornets,Michael Kidd-Gilchrist,21,SF,55,52,1587,.465,.578,.280,.500,.371,0
2014-15,Charlotte Hornets,Lance Stephenson,24,SG,61,25,1573,.376,.568,.324,.418,.318,.171
2014-15,Charlotte Hornets,Cody Zeller,22,C,62,45,1487,.461,.574,.286,.333,.353,1.000
2014-15,Charlotte Hornets,Brian Roberts,29,PG,72,10,1330,.389,.511,.436,.396,.433,.321
2014-15,Charlotte Hornets,Bismack Biyombo,22,C,64,21,1243,.543,.657,.233,.250,.000,0
2014-15,Charlotte Hornets,Gary Neal,30,SG,43,0,931,.359,.320,.339,.509,.396,.293
2014-15,Charlotte Hornets,Jason Maxiell,31,PF,61,0,878,.422,.552,.431,.273,.304,0
2014-15,Charlotte Hornets,Mo Williams,32,PG,27,14,831,.390,.419,.542,.447,.408,.337
2014-15,Charlotte Hornets,P.J. Hairston,22,SG,45,2,687,.323,.348,.389,.538,.276,.301
2014-15,Charlotte Hornets,Jeff Taylor,25,SF,29,13,430,.395,.657,.071,.333,.348,.306
2014-15,Charlotte Hornets,Noah Vonleh,19,PF,25,0,259,.395,.471,.316,.400,.200,.385
2014-15,Charlotte Hornets,Troy Daniels,23,SG,11,0,135,.458,.600,.500,.000,.462,.472
2014-15,Charlotte Hornets,Jannero Pargo,35,PG,9,0,73,.429,1.000,0,1.000,.364,.409
2014-15,Chicago Bulls,Pau Gasol,34,PF,78,78,2681,.494,.609,.433,.401,.475,.462
2014-15,Chicago Bulls,Jimmy Butler,25,SG,65,65,2513,.462,.624,.345,.427,.373,.378
2014-15,Chicago Bulls,Joakim Noah,29,C,67,67,2049,.445,.506,.360,.500,.325,.000
2014-15,Chicago Bulls,Aaron Brooks,30,PG,82,21,1885,.421,.523,.388,.430,.300,.387
2014-15,Chicago Bulls,Mike Dunleavy,34,SF,63,63,1838,.435,.566,.323,.267,.461,.407
2014-15,Chicago Bulls,Taj Gibson,29,PF,62,17,1692,.502,.619,.350,.341,.415,0
2014-15,Chicago Bulls,Nikola Mirotić,23,PF,82,3,1654,.405,.648,.188,.333,.424,.316
2014-15,Chicago Bulls,Kirk Hinrich,34,SG,66,22,1610,.373,.571,.333,.300,.368,.345
2014-15,Chicago Bulls,Derrick Rose,26,PG,51,51,1530,.405,.553,.519,.287,.380,.280
2014-15,Chicago Bulls,Tony Snell,23,SF,72,22,1412,.429,.667,.317,.273,.368,.371
2014-15,Chicago Bulls,E'Twaun Moore,25,SG,56,0,504,.446,.607,.531,.417,.294,.342
2014-15,Chicago Bulls,Doug McDermott,23,SF,36,0,321,.402,.558,.125,.000,.417,.317
2014-15,Chicago Bulls,Nazr Mohammed,37,C,23,0,128,.433,.667,.400,.167,.167,0
2014-15,Chicago Bulls,Cameron Bairstow,24,PF,18,1,64,.214,.200,.000,.000,.333,0
2014-15,Cleveland Caveliers,Kyrie Irving,22,PG,75,75,2730,.468,.611,.344,.420,.482,.415
2014-15,Cleveland Caveliers,Kevin Love,26,PF,75,75,2532,.434,.611,.366,.408,.468,.367
2014-15,Cleveland Caveliers,LeBron James,30,SF,69,69,2493,.488,.721,.413,.356,.377,.354
2014-15,Cleveland Caveliers,Tristan Thompson,23,PF,82,15,2194,.547,.647,.353,.314,.375,0
2014-15,Cleveland Caveliers,J.R. Smith,29,SG,46,45,1461,.425,.574,.360,.458,.500,.390
2014-15,Cleveland Caveliers,Matthew Dellavedova,24,SG,67,13,1380,.362,.389,.242,.351,.348,.407
2014-15,Cleveland Caveliers,Timofey Mozgov,28,C,46,45,1148,.590,.726,.299,.429,.452,0
2014-15,Cleveland Caveliers,Shawn Marion,36,SF,57,24,1101,.446,.611,.393,.320,.000,.261
2014-15,Cleveland Caveliers,Iman Shumpert,24,SG,38,1,920,.410,.591,.235,.563,.449,.338
2014-15,Cleveland Caveliers,Dion Waiters,23,SG,33,3,786,.404,.556,.345,.417,.367,.256
2014-15,Cleveland Caveliers,Mike Miller,34,SF,52,15,701,.325,1.000,.500,.000,.286,.327
2014-15,Cleveland Caveliers,James Jones,34,SF,57,2,669,.368,.667,.333,.143,.538,.360
2014-15,Cleveland Caveliers,Anderson Varejão,32,C,26,26,636,.555,.670,.429,.433,.571,.000
2014-15,Cleveland Caveliers,Joe Harris,23,SG,51,1,493,.400,.533,.375,.400,.500,.369
2014-15,Cleveland Caveliers,Kendrick Perkins,30,C,17,0,167,.488,.632,.333,.667,.000,0
2014-15,Cleveland Caveliers,Brendan Haywood,35,C,22,1,119,.467,.800,.350,.500,1.000,0
2014-15,Cleveland Caveliers,A.J. Price,28,PG,11,0,87,.265,.333,.833,.143,.286,.000
2014-15,Cleveland Caveliers,Lou Amundson,32,PF,12,0,79,.333,.333,.333,0,0,0
2014-15,Cleveland Caveliers,Will Cherry,23,PG,8,0,69,.263,.333,.333,0,.000,.222
2014-15,Cleveland Caveliers,Alex Kirk,23,C,5,0,14,.250,.500,0,0,.000,0
2014-15,Dallas Mavericks,Monta Ellis,29,SG,80,80,2699,.445,.622,.395,.418,.440,.285
2014-15,Dallas Mavericks,Tyson Chandler,32,C,75,75,2286,.666,.746,.237,.462,.400,0
2014-15,Dallas Mavericks,Dirk Nowitzki,36,PF,77,77,2282,.459,.700,.365,.478,.475,.380
2014-15,Dallas Mavericks,Chandler Parsons,26,SF,66,66,2186,.462,.634,.392,.268,.458,.380
2014-15,Dallas Mavericks,Devin Harris,31,PG,76,3,1685,.418,.619,.389,.167,.389,.357
2014-15,Dallas Mavericks,Al-Farouq Aminu,24,SF,74,3,1366,.412,.619,.250,.538,.120,.274
2014-15,Dallas Mavericks,J.J. Barea,30,PG,77,10,1362,.420,.551,.415,.404,.407,.323
2014-15,Dallas Mavericks,Rajon Rondo,28,PG,46,46,1319,.436,.662,.358,.360,.311,.352
2014-15,Dallas Mavericks,Richard Jefferson,34,SF,74,18,1244,.444,.634,.295,.077,.400,.426
2014-15,Dallas Mavericks,Charlie Villanueva,30,PF,64,1,678,.414,.526,.432,.381,.526,.376
2014-15,Dallas Mavericks,Jameer Nelson,32,PG,23,23,584,.374,.737,.286,.000,.167,.369
2014-15,Dallas Mavericks,Brandan Wright,27,PF,27,0,505,.748,.853,.500,.333,1.000,0
2014-15,Dallas Mavericks,Amar'e Stoudemire,32,PF,23,1,380,.581,.725,.558,.462,.333,.000
2014-15,Dallas Mavericks,Greg Smith,24,PF,42,2,363,.612,.625,.625,.000,0,0
2014-15,Dallas Mavericks,Raymond Felton,30,PG,29,3,281,.406,.600,.333,.444,.385,.294
2014-15,Dallas Mavericks,Jae Crowder,24,SF,25,0,265,.434,.667,.667,.333,.429,.342
2014-15,Dallas Mavericks,Dwight Powell,23,PF,24,0,227,.435,.684,.000,.800,.350,.273
2014-15,Dallas Mavericks,Bernard James,29,C,16,2,158,.444,.545,.000,0,0,0
2014-15,Dallas Mavericks,Ricky Ledo,22,SG,5,0,11,.000,.000,.000,0,0,.000
2014-15,Denver Nuggets,Ty Lawson,27,PG,75,75,2665,.436,.642,.351,.447,.345,.341
2014-15,Denver Nuggets,Wilson Chandler,27,SF,78,75,2471,.429,.642,.392,.339,.317,.342
2014-15,Denver Nuggets,Kenneth Faried,25,PF,75,71,2086,.507,.631,.353,.325,.280,.125
2014-15,Denver Nuggets,Arron Afflalo,29,SG,53,53,1750,.428,.571,.361,.500,.500,.337
2014-15,Denver Nuggets,Danilo Gallinari,26,SF,59,27,1426,.401,.619,.292,.481,.358,.355
2014-15,Denver Nuggets,J.J. Hickson,26,C,73,8,1411,.475,.609,.341,.250,.227,.000
2014-15,Denver Nuggets,Jusuf Nurkić,20,C,62,27,1103,.446,.575,.316,.333,.382,.000
2014-15,Denver Nuggets,Randy Foye,31,SG,50,21,1087,.368,.625,.286,.375,.286,.357
2014-15,Denver Nuggets,Darrell Arthur,26,PF,58,4,988,.404,.623,.458,.434,.431,.236
2014-15,Denver Nuggets,Timofey Mozgov,28,C,35,35,897,.504,.635,.395,.174,.412,.333
2014-15,Denver Nuggets,Gary Harris,20,SG,55,6,719,.304,.480,.294,.368,.321,.204
2014-15,Denver Nuggets,Jameer Nelson,32,PG,34,5,702,.450,.720,.345,.524,.457,.354
2014-15,Denver Nuggets,Will Barton,24,SG,28,0,683,.443,.610,.439,.211,.500,.284
2014-15,Denver Nuggets,Alonzo Gee,27,SF,39,0,511,.482,.654,.095,.167,.250,.417
2014-15,Denver Nuggets,Nate Robinson,30,PG,33,1,465,.348,.515,.375,.474,.333,.261
2014-15,Denver Nuggets,Erick Green,23,PG,43,1,410,.377,.667,.476,.318,.367,.298
2014-15,Denver Nuggets,Joffrey Lauvergne,23,C,24,1,268,.404,.667,.125,.000,.143,.188
2014-15,Denver Nuggets,JaVale McGee,27,C,17,0,195,.557,.694,.421,.200,.000,0
2014-15,Denver Nuggets,Ian Clark,23,SG,7,0,31,.364,1.000,.000,1.000,.000,.200
2014-15,Denver Nuggets,Jamaal Franklin,23,SG,3,0,13,.500,0,0,0,0,.500
2014-15,Detroit Pistons,Kentavious Caldwell-Pope,21,SG,82,82,2587,.401,.600,.260,.436,.343,.345
2014-15,Detroit Pistons,Andre Drummond,21,C,82,82,2502,.514,.600,.344,.111,.000,.000
2014-15,Detroit Pistons,Greg Monroe,24,PF,69,57,2137,.496,.614,.367,.321,.351,0
2014-15,Detroit Pistons,Caron Butler,34,SF,78,21,1623,.407,.520,.308,.484,.426,.379
2014-15,Detroit Pistons,Jodie Meeks,27,SG,60,0,1462,.416,.614,.342,.481,.372,.349
2014-15,Detroit Pistons,D.J. Augustin,27,PG,54,13,1287,.410,.615,.337,.280,.346,.327
2014-15,Detroit Pistons,Kyle Singler,26,SF,54,40,1287,.400,.642,.179,.333,.319,.406
2014-15,Detroit Pistons,Brandon Jennings,25,PG,41,41,1173,.401,.520,.313,.340,.391,.360
2014-15,Detroit Pistons,Anthony Tolliver,29,PF,52,11,1160,.423,.673,.400,.600,.438,.360
2014-15,Detroit Pistons,Josh Smith,29,PF,28,28,896,.391,.586,.310,.182,.347,.243
2014-15,Detroit Pistons,Reggie Jackson,24,PG,27,27,870,.436,.634,.315,.371,.365,.337
2014-15,Detroit Pistons,Jonas Jerebko,27,PF,46,0,703,.460,.593,.500,.200,.459,.368
2014-15,Detroit Pistons,Tayshaun Prince,34,SF,23,7,571,.431,.630,.143,.450,.439,.423
2014-15,Detroit Pistons,Spencer Dinwiddie,21,PG,34,1,455,.302,.459,.269,.316,.409,.185
2014-15,Detroit Pistons,Joel Anthony,32,C,49,0,406,.581,.813,.304,.429,0,0
2014-15,Detroit Pistons,John Lucas III,32,PG,21,0,272,.404,.500,.286,.471,.472,.310
2014-15,Detroit Pistons,Cartier Martin,30,SF,23,0,198,.283,.600,.250,.000,.500,.182
2014-15,Detroit Pistons,Shawne Williams,28,SF,19,0,163,.317,.385,.000,.500,.571,.154
2014-15,Detroit Pistons,Quincy Miller,22,PF,4,0,58,.250,.000,.333,0,.667,.182
2014-15,Detroit Pistons,Gigi Datome,27,SF,3,0,17,.417,.500,1.000,.500,.000,.250
2014-15,Golden State Warriors,Stephen Curry,26,PG,80,80,2613,.487,.687,.458,.515,.394,.443
2014-15,Golden State Warriors,Draymond Green,24,PF,79,79,2490,.443,.680,.205,.462,.340,.337
2014-15,Golden State Warriors,Klay Thompson,24,SG,77,77,2455,.463,.682,.345,.418,.414,.439
2014-15,Golden State Warriors,Harrison Barnes,22,SF,82,82,2318,.482,.685,.325,.415,.400,.405
2014-15,Golden State Warriors,Andre Iguodala,31,SF,77,0,2069,.466,.750,.286,.359,.379,.349
2014-15,Golden State Warriors,Andrew Bogut,30,C,67,65,1583,.563,.643,.488,.250,.000,0
2014-15,Golden State Warriors,Shaun Livingston,29,PG,78,2,1468,.500,.701,.362,.461,.464,.000
2014-15,Golden State Warriors,Marreese Speights,27,C,76,9,1207,.492,.632,.418,.500,.423,.278
2014-15,Golden State Warriors,Leandro Barbosa,32,SG,66,1,982,.474,.650,.377,.294,.386,.384
2014-15,Golden State Warriors,David Lee,31,PF,49,4,904,.511,.689,.314,.560,.303,.000
2014-15,Golden State Warriors,Justin Holiday,25,SG,59,4,657,.387,.553,.294,.529,.356,.321
2014-15,Golden State Warriors,Festus Ezeli,25,C,46,7,504,.547,.653,.491,.333,.000,0
2014-15,Golden State Warriors,Brandon Rush,29,SG,33,0,271,.204,.333,.400,.000,.300,.111
2014-15,Golden State Warriors,James Michael McAdoo,22,PF,15,0,137,.545,.710,.091,1.000,.000,0
2014-15,Golden State Warriors,Ognjen Kuzmić,24,C,16,0,72,.667,.667,0,.500,1.000,0
2014-15,Houston Rockets,James Harden,25,SG,81,81,2981,.440,.615,.295,.431,.337,.375
2014-15,Houston Rockets,Trevor Ariza,29,SF,82,82,2930,.402,.615,.349,.188,.338,.350
2014-15,Houston Rockets,Donatas Motiejūnas,24,PF,71,62,2037,.504,.643,.500,.361,.222,.368
2014-15,Houston Rockets,Patrick Beverley,26,PG,56,55,1727,.383,.505,.390,.350,.235,.356
2014-15,Houston Rockets,Jason Terry,37,SG,77,18,1641,.422,.548,.516,.458,.486,.390
2014-15,Houston Rockets,Corey Brewer,28,SF,56,1,1407,.429,.642,.340,.323,.373,.284
2014-15,Houston Rockets,Josh Smith,29,PF,55,7,1404,.438,.667,.379,.385,.220,.330
2014-15,Houston Rockets,Dwight Howard,29,C,41,41,1223,.593,.723,.377,.000,.500,.500
2014-15,Houston Rockets,Terrence Jones,23,PF,33,24,889,.528,.691,.416,.091,.200,.351
2014-15,Houston Rockets,Joey Dorsey,31,PF,69,17,854,.552,.616,.367,.000,.000,.000
2014-15,Houston Rockets,Kostas Papanikolaou,24,SF,43,1,795,.350,.556,.200,.222,.250,.292
2014-15,Houston Rockets,Pablo Prigioni,37,PG,24,0,402,.343,.833,.333,.500,0,.275
2014-15,Houston Rockets,Tarik Black,23,C,25,12,393,.542,.623,.350,0,.000,.000
2014-15,Houston Rockets,Isaiah Canaan,23,PG,25,9,369,.405,.536,.125,.333,.500,.381
2014-15,Houston Rockets,Nick Johnson,22,SG,28,0,262,.347,.469,.333,.000,.000,.238
2014-15,Houston Rockets,Francisco García,33,SF,14,0,200,.270,.750,.000,.167,.000,.222
2014-15,Houston Rockets,Troy Daniels,23,SG,17,0,108,.319,1.000,0,0,.333,.302
2014-15,Houston Rockets,Clint Capela,20,C,12,0,90,.483,.667,.000,0,0,0
2014-15,Houston Rockets,Alexey Shved,26,SG,9,0,59,.333,.571,.000,.000,.000,.333
2014-15,Houston Rockets,K.J. McDaniels,21,SG,10,0,33,.333,.800,.000,.500,.000,.000
2014-15,Indiana Pacers,Solomon Hill,23,SF,82,78,2381,.396,.502,.333,.377,.350,.327
2014-15,Indiana Pacers,Roy Hibbert,28,C,76,76,1926,.446,.558,.443,.328,.440,.000
2014-15,Indiana Pacers,David West,34,PF,66,66,1895,.471,.642,.419,.324,.502,.200
2014-15,Indiana Pacers,Rodney Stuckey,28,PG,71,36,1874,.440,.572,.416,.415,.369,.390
2014-15,Indiana Pacers,C.J. Miles,27,SG,70,40,1841,.398,.650,.309,.394,.391,.345
2014-15,Indiana Pacers,Luis Scola,34,PF,81,16,1659,.467,.610,.388,.333,.400,.250
2014-15,Indiana Pacers,C.J. Watson,30,PG,57,21,1422,.434,.608,.324,.417,.411,.400
2014-15,Indiana Pacers,George Hill,28,PG,43,36,1267,.477,.702,.427,.500,.450,.358
2014-15,Indiana Pacers,Ian Mahinmi,28,C,61,6,1146,.552,.694,.391,.375,.188,0
2014-15,Indiana Pacers,Donald Sloan,27,PG,53,21,1107,.408,.588,.434,.348,.283,.313
2014-15,Indiana Pacers,Lavoy Allen,25,C,63,0,1070,.472,.702,.400,.259,.372,0
2014-15,Indiana Pacers,Damjan Rudež,28,SF,68,2,1047,.452,.640,.333,.545,.510,.406
2014-15,Indiana Pacers,Chris Copeland,30,SF,50,12,828,.361,.552,.311,.250,.304,.311
2014-15,Indiana Pacers,A.J. Price,28,PG,10,0,193,.438,.333,.385,.533,.526,.385
2014-15,Indiana Pacers,Shayne Whittington,23,PF,20,0,108,.452,.615,.333,.000,.600,.167
2014-15,Indiana Pacers,Paul George,24,SF,6,0,91,.367,.400,.000,.429,.250,.409
2014-15,Los Angeles Clippers,Chris Paul,29,PG,82,82,2857,.485,.634,.496,.520,.495,.398
2014-15,Los Angeles Clippers,DeAndre Jordan,26,C,82,82,2820,.710,.739,.368,1.000,0,.250
2014-15,Los Angeles Clippers,JJ Redick,30,SG,78,78,2409,.477,.624,.413,.469,.509,.437
2014-15,Los Angeles Clippers,Blake Griffin,25,PF,67,67,2356,.502,.708,.396,.383,.404,.400
2014-15,Los Angeles Clippers,Matt Barnes,34,SF,76,74,2271,.444,.684,.323,.444,.474,.362
2014-15,Los Angeles Clippers,Jamal Crawford,34,SG,64,4,1703,.396,.561,.465,.354,.450,.327
2014-15,Los Angeles Clippers,Spencer Hawes,26,PF,73,15,1274,.393,.598,.350,.414,.396,.313
2014-15,Los Angeles Clippers,Glen Davis,29,PF,74,0,904,.459,.616,.451,.214,.234,.000
2014-15,Los Angeles Clippers,Austin Rivers,22,SG,41,2,791,.427,.634,.429,.286,.368,.309
2014-15,Los Angeles Clippers,Hedo Türkoğlu,35,SF,62,2,705,.441,.714,.333,.500,.348,.432
2014-15,Los Angeles Clippers,Jordan Farmar,28,PG,36,0,529,.386,.588,.200,.375,.387,.361
2014-15,Los Angeles Clippers,Reggie Bullock,23,SF,25,2,263,.426,.857,.000,0,.286,.385
2014-15,Los Angeles Clippers,Ekpe Udoh,27,PF,33,0,128,.458,.800,.250,.500,.000,0
2014-15,Los Angeles Clippers,Nate Robinson,30,PG,9,0,126,.333,.500,.000,.500,.200,.350
2014-15,Los Angeles Clippers,Dahntay Jones,34,SF,33,0,123,.286,.833,.000,.000,.250,.000
2014-15,Los Angeles Clippers,Jordan Hamilton,24,SF,14,2,122,.400,.667,.200,.333,.000,.476
2014-15,Los Angeles Clippers,Chris Douglas-Roberts,28,SG,12,0,103,.238,.444,.000,.000,.000,.143
2014-15,Los Angeles Clippers,C.J. Wilcox,24,SG,21,0,101,.421,.800,.500,1.000,.200,.368
2014-15,Los Angeles Clippers,Jared Cunningham,23,SG,19,0,89,.364,.364,.500,.000,.500,.308
2014-15,Los Angeles Clippers,Lester Hudson,30,SG,5,0,56,.429,.667,.500,.000,.000,.500
2014-15,Los Angeles Lakers,Wesley Johnson,27,SF,76,59,2245,.414,.704,.444,.387,.347,.351
2014-15,Los Angeles Lakers,Jeremy Lin,26,PG,74,30,1907,.424,.607,.330,.385,.325,.369
2014-15,Los Angeles Lakers,Jordan Hill,27,C,70,57,1874,.459,.691,.398,.336,.394,.273
2014-15,Los Angeles Lakers,Ed Davis,25,PF,79,24,1840,.601,.686,.386,.353,0,0
2014-15,Los Angeles Lakers,Carlos Boozer,33,PF,71,26,1692,.499,.674,.338,.472,.366,0
2014-15,Los Angeles Lakers,Wayne Ellington,27,SG,65,36,1675,.412,.616,.286,.370,.392,.370
2014-15,Los Angeles Lakers,Jordan Clarkson,22,PG,59,38,1476,.448,.661,.321,.476,.386,.314
2014-15,Los Angeles Lakers,Ryan Kelly,23,PF,52,34,1233,.337,.644,.205,.255,.231,.336
2014-15,Los Angeles Lakers,Kobe Bryant,36,SG,35,35,1207,.373,.567,.380,.311,.389,.293
2014-15,Los Angeles Lakers,Robert Sacre,25,C,67,18,1133,.412,.646,.348,.352,.419,.000
2014-15,Los Angeles Lakers,Nick Young,29,SG,42,0,1000,.366,.625,.094,.318,.352,.369
2014-15,Los Angeles Lakers,Ronnie Price,31,PG,43,20,982,.345,.614,.200,.500,.222,.284
2014-15,Los Angeles Lakers,Tarik Black,23,C,38,27,803,.589,.664,.533,.000,.250,0
2014-15,Los Angeles Lakers,Jabari Brown,22,SG,19,5,568,.412,.553,.316,.313,.385,.371
2014-15,Los Angeles Lakers,Dwight Buycks,25,PG,6,0,123,.450,.417,.000,.800,.222,.636
2014-15,Los Angeles Lakers,Xavier Henry,23,SF,9,0,86,.231,.200,.000,.333,.250,0
2014-15,Los Angeles Lakers,Vander Blue,22,SG,2,1,74,.300,.500,.000,0,.200,.200
2014-15,Los Angeles Lakers,Julius Randle,20,PF,1,0,14,.333,.000,1.000,0,.000,0
2014-15,Memphis Grizzlies,Marc Gasol,30,C,81,81,2687,.494,.698,.468,.430,.402,.176
2014-15,Memphis Grizzlies,Courtney Lee,29,SG,77,74,2354,.448,.650,.273,.452,.456,.402
2014-15,Memphis Grizzlies,Zach Randolph,33,PF,71,71,2304,.487,.646,.403,.325,.377,.350
2014-15,Memphis Grizzlies,Mike Conley,27,PG,70,70,2225,.446,.586,.433,.395,.352,.386
2014-15,Memphis Grizzlies,Tony Allen,33,SG,63,41,1648,.495,.564,.333,.500,.261,.345
2014-15,Memphis Grizzlies,Beno Udrih,32,PG,79,12,1494,.487,.679,.262,.561,.503,.268
2014-15,Memphis Grizzlies,Jeff Green,28,SF,45,37,1361,.427,.607,.389,.357,.254,.362
2014-15,Memphis Grizzlies,Kosta Koufos,25,C,81,3,1348,.508,.619,.454,.333,.333,0
